"Sample","replicate","Donor","MFI","severe","dose","time"
"10_30M",1,"2",160.6138803,0,"10","30M"
"10_30M",1,"3",136.4235692,0,"10","30M"
"10_30M",1,"4",196.19436745,0,"10","30M"
"10_30M",1,"5",195.9195135,0,"10","30M"
"10_30M",2,"1",90.7963470146059,0,"10","30M"
"10_30M",2,"2",112.624650806188,0,"10","30M"
"10_30M",2,"3",92.2136799246072,0,"10","30M"
"10_30M",2,"4",148.612687915563,0,"10","30M"
"10_30M",2,"5",172.696476899087,0,"10","30M"
"10_60M",1,"1",93.960618025,0,"10","60M"
"10_60M",1,"2",111.3389796,0,"10","60M"
"10_60M",1,"3",91.173418655,0,"10","60M"
"10_60M",1,"4",128.42645235,0,"10","60M"
"10_60M",1,"5",123.7107186,0,"10","60M"
"10_60M",2,"1",106.998563632369,0,"10","60M"
"10_60M",2,"2",119.038569852709,0,"10","60M"
"10_60M",2,"3",92.9729367196559,0,"10","60M"
"10_60M",2,"4",136.346453905105,0,"10","60M"
"10_60M",2,"5",130.348649099469,0,"10","60M"
"1_120M",1,"1",63.807991795,0,"1","120M"
"1_120M",1,"2",77.78604724,0,"1","120M"
"1_120M",1,"3",62.645450275,0,"1","120M"
"1_120M",1,"4",80.028409415,0,"1","120M"
"1_120M",1,"5",74.15067585,0,"1","120M"
"1_120M",2,"1",81.9788232371211,0,"1","120M"
"1_120M",2,"2",91.7094503641128,0,"1","120M"
"1_120M",2,"3",80.0998611822724,0,"1","120M"
"1_120M",2,"4",101.417873620986,0,"1","120M"
"1_120M",2,"5",108.83716931939,0,"1","120M"
"1_240M",1,"1",62.57040496,0,"1","240M"
"1_240M",1,"2",73.932684435,0,"1","240M"
"1_240M",1,"3",61.3268187,0,"1","240M"
"1_240M",1,"4",77.88178636,0,"1","240M"
"1_240M",1,"5",81.47084734,0,"1","240M"
"1_240M",2,"1",84.8176727294921,0,"1","240M"
"1_240M",2,"2",91.8792253285646,0,"1","240M"
"1_240M",2,"3",74.4346250519156,0,"1","240M"
"1_240M",2,"4",101.778061702847,0,"1","240M"
"1_240M",2,"5",110.880229644477,0,"1","240M"
"1_30M",1,"1",77.575382745,0,"1","30M"
"1_30M",1,"2",85.41230469,0,"1","30M"
"1_30M",1,"3",70.27276561,0,"1","30M"
"1_30M",1,"4",97.5808391,0,"1","30M"
"1_30M",1,"5",93.39540304,0,"1","30M"
"1_30M",2,"1",61.3602932542562,0,"1","30M"
"1_30M",2,"2",80.0426297336816,0,"1","30M"
"1_30M",2,"3",65.759072639048,0,"1","30M"
"1_30M",2,"4",87.7866182774304,0,"1","30M"
"1_30M",2,"5",94.4722246527672,0,"1","30M"
"1_60M",1,"1",68.798912195,0,"1","60M"
"1_60M",1,"2",79.60153074,0,"1","60M"
"1_60M",1,"3",62.21024202,0,"1","60M"
"1_60M",1,"4",79.071939395,0,"1","60M"
"1_60M",1,"5",71.875255865,0,"1","60M"
"1_60M",2,"1",72.3316944241523,0,"1","60M"
"1_60M",2,"2",84.3091107159853,0,"1","60M"
"1_60M",2,"3",71.3280657976865,0,"1","60M"
"1_60M",2,"4",85.3554768115282,0,"1","60M"
"1_60M",2,"5",90.5107181817292,0,"1","60M"
"M_120M",1,"1",51.70126076,0,"0","120M"
"M_120M",1,"2",64.09967339,0,"0","120M"
"M_120M",1,"3",52.16054186,0,"0","120M"
"M_120M",1,"4",63.161419375,0,"0","120M"
"M_120M",1,"5",61.629279595,0,"0","120M"
"M_120M",2,"1",59.737203374505,0,"0","120M"
"M_120M",2,"2",73.1939384192228,0,"0","120M"
"M_120M",2,"3",64.572749659419,0,"0","120M"
"M_120M",2,"4",77.3439728096127,0,"0","120M"
"M_120M",2,"5",78.250956043601,0,"0","120M"
"M_240M",1,"1",62.0108583,0,"0","240M"
"M_240M",1,"2",72.072551775,0,"0","240M"
"M_240M",1,"3",62.648097065,0,"0","240M"
"M_240M",1,"4",72.27676721,0,"0","240M"
"M_240M",1,"5",77.2939061,0,"0","240M"
"M_240M",2,"1",62.6713631600141,0,"0","240M"
"M_240M",2,"2",77.2238255292176,0,"0","240M"
"M_240M",2,"3",66.2224726229906,0,"0","240M"
"M_240M",2,"4",74.2172341495752,0,"0","240M"
"M_240M",2,"5",79.1858550459146,0,"0","240M"
"M_30M",1,"1",58.446332025,0,"0","30M"
"M_30M",1,"2",68.8773396,0,"0","30M"
"M_30M",1,"3",54.03479287,0,"0","30M"
"M_30M",1,"4",66.44962526,0,"0","30M"
"M_30M",1,"5",67.54134091,0,"0","30M"
"M_30M",2,"1",62.7034288346767,0,"0","30M"
"M_30M",2,"2",76.7253274917602,0,"0","30M"
"M_30M",2,"3",68.3731500506401,0,"0","30M"
"M_30M",2,"4",80.8640134930611,0,"0","30M"
"M_30M",2,"5",85.7789317443967,0,"0","30M"
"M_60M",1,"1",54.9903162,0,"0","60M"
"M_60M",1,"2",62.65459487,0,"0","60M"
"M_60M",1,"3",53.53450879,0,"0","60M"
"M_60M",1,"4",64.37944094,0,"0","60M"
"M_60M",1,"5",65.52865359,0,"0","60M"
"M_60M",2,"1",68.3478561043739,0,"0","60M"
"M_60M",2,"2",79.2551907002926,0,"0","60M"
"M_60M",2,"3",65.9326683580875,0,"0","60M"
"M_60M",2,"4",77.6134974509477,0,"0","60M"
"M_60M",2,"5",84.4428917467594,0,"0","60M"
"01_120M",1,"10",54.47696787,1,"0.1","120M"
"01_120M",1,"6",53.94130458,1,"0.1","120M"
"01_120M",1,"7",51.91942137,1,"0.1","120M"
"01_120M",1,"8",51.14997804,1,"0.1","120M"
"01_120M",1,"9",54.047867105,1,"0.1","120M"
"01_120M",2,"10",63.4696240350603,1,"0.1","120M"
"01_120M",2,"6",71.819628894329,1,"0.1","120M"
"01_120M",2,"7",60.7299413308501,1,"0.1","120M"
"01_120M",2,"8",61.2680463269352,1,"0.1","120M"
"01_120M",2,"9",62.9367955774068,1,"0.1","120M"
"01_240M",1,"10",55.70238116,1,"0.1","240M"
"01_240M",1,"6",59.50281902,1,"0.1","240M"
"01_240M",1,"7",52.91621112,1,"0.1","240M"
"01_240M",1,"8",53.83619577,1,"0.1","240M"
"01_240M",1,"9",54.77852471,1,"0.1","240M"
"01_240M",2,"10",60.0948356986045,1,"0.1","240M"
"01_240M",2,"6",68.6342592462896,1,"0.1","240M"
"01_240M",2,"7",59.7120550870895,1,"0.1","240M"
"01_240M",2,"8",66.4488460645079,1,"0.1","240M"
"01_240M",2,"9",59.3150066882371,1,"0.1","240M"
"01_30M",1,"10",56.772171435,1,"0.1","30M"
"01_30M",1,"6",56.10797012,1,"0.1","30M"
"01_30M",1,"7",53.816578035,1,"0.1","30M"
"01_30M",1,"8",52.642680515,1,"0.1","30M"
"01_30M",1,"9",54.366298355,1,"0.1","30M"
"01_30M",2,"10",64.2722139507532,1,"0.1","30M"
"01_30M",2,"6",70.5035686790943,1,"0.1","30M"
"01_30M",2,"7",62.2987389191984,1,"0.1","30M"
"01_30M",2,"8",60.4566205069423,1,"0.1","30M"
"01_30M",2,"9",62.8797903507947,1,"0.1","30M"
"01_60M",1,"10",55.09260736,1,"0.1","60M"
"01_60M",1,"6",58.70526166,1,"0.1","60M"
"01_60M",1,"7",54.14833961,1,"0.1","60M"
"01_60M",1,"8",52.84672205,1,"0.1","60M"
"01_60M",1,"9",52.9118767,1,"0.1","60M"
"01_60M",2,"10",57.5528698787092,1,"0.1","60M"
"01_60M",2,"6",70.0241944491863,1,"0.1","60M"
"01_60M",2,"7",55.8895026743412,1,"0.1","60M"
"01_60M",2,"8",51.2515308856964,1,"0.1","60M"
"01_60M",2,"9",52.0530120953917,1,"0.1","60M"
"100_120M",1,"10",124.4382957,1,"100","120M"
"100_120M",1,"6",137.940388,1,"100","120M"
"100_120M",1,"7",126.1730418,1,"100","120M"
"100_120M",1,"8",125.7093513,1,"100","120M"
"100_120M",1,"9",116.3294838,1,"100","120M"
"100_120M",2,"10",161.825590848922,1,"100","120M"
"100_120M",2,"6",183.839103430509,1,"100","120M"
"100_120M",2,"7",156.378054186701,1,"100","120M"
"100_120M",2,"8",155.60520620644,1,"100","120M"
"100_120M",2,"9",152.935005441308,1,"100","120M"
"100_240M",1,"10",126.35141515,1,"100","240M"
"100_240M",1,"6",114.3510881,1,"100","240M"
"100_240M",1,"7",109.322773,1,"100","240M"
"100_240M",1,"8",114.7181561,1,"100","240M"
"100_240M",1,"9",120.6128215,1,"100","240M"
"100_240M",2,"10",140.956199772656,1,"100","240M"
"100_240M",2,"6",151.47955404222,1,"100","240M"
"100_240M",2,"7",133.531243726611,1,"100","240M"
"100_240M",2,"8",132.251904696226,1,"100","240M"
"100_240M",2,"9",140.97978593409,1,"100","240M"
"100_30M",1,"10",141.2265575,1,"100","30M"
"100_30M",1,"6",154.53391735,1,"100","30M"
