tissue,cytokine,dose,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5,Donor 7,Donor 7,Donor 7,Donor 10,Donor 10,Donor 10,Donor 1,Donor 1,Donor 1,Donor 2,Donor 2,Donor 2,Donor 3,Donor 3,Donor 3,Donor 6,Donor 6,Donor 6,Donor 8,Donor 8,Donor 8,Donor 9,Donor 9,Donor 9
Fibroblasts,IL15,0,1,0.99,1.02,0.54,0.92,2.03,1.24,0.8,1.01,1.88,0.53,0.83,,,,,,,,,,,,,,,,,,
Fibroblasts,IL15,0.1,3.61,2.98,2.53,1.95,1.48,3.86,3.13,1.84,1.89,7.41,1.89,2.07,,,,,,,,,,,,,,,,,,
Fibroblasts,IL15,1,5.22,3.58,4.57,3.57,2.26,6.34,8.51,4.66,6.1,13.99,2.76,7.64,,,,,,,,,,,,,,,,,,
Fibroblasts,IL15,10,7.3,5.52,4.91,3.62,4.98,10.52,11.24,5.88,6,20.13,3.66,5.06,,,,,,,,,,,,,,,,,,
Fibroblasts,IL15,100,5.31,6.05,4.73,2.73,3.47,8.54,7.14,4.1,5.7,21.67,3.69,9.5,,,,,,,,,,,,,,,,,,
Keratinocytes,IL12A,0,1.01,1.18,0.85,0.84,1.65,0.72,0.52,1.26,1.52,0.93,0.81,1.34,1.21,0.4,1.37,0.96,0.94,1.1,0.81,1.14,1.08,1.82,0.4,1.37,0.98,0.75,1.37,0.79,1.21,1.05
Keratinocytes,IL12A,0.1,2.84,12.39,4.1,8.49,11.75,4.63,0.74,1.07,2.13,1.81,1.37,2.24,4.68,2.22,5.28,4.68,4.18,1.74,3.47,6.79,5.22,7.18,2.22,5.28,0.7,0.25,0.61,4.68,6.77,4.89
Keratinocytes,IL12A,1,4.83,17.33,10.39,15.23,9.97,7.86,1.37,2.19,4.55,3.33,2.5,4.16,9.38,4.68,8.85,9.38,3.55,12.83,4.9,9.79,5.71,3.86,4.68,8.85,0.75,1.81,0.7,6.29,10.07,9.11
Keratinocytes,IL12A,10,4.53,12.51,4.81,5.92,10.21,4.95,3.04,3.7,7.34,5.27,3.25,4.24,6.17,5.48,4.54,6.17,4.01,20.61,4.55,8.3,7.77,5.85,5.48,4.54,2.53,1.4,1.97,9.49,9.46,7.68
Keratinocytes,IL12A,100,3.66,12.36,4.31,5.5,10.5,2.63,2.84,3.31,4.62,4.13,2.82,3.32,4.45,2.47,5.32,4.45,2.24,1.99,3.21,6.39,5.83,6.08,2.47,5.32,2.04,10.11,3.63,6.46,5.16,6.41
Fibroblasts,IL12A,0,1.19,0.87,0.96,0.8,1.19,1.05,1.21,0.86,0.96,0.95,1.05,0.47,,,,,,,,,,,,,,,,,,
Fibroblasts,IL12A,0.1,2.52,1.96,1.51,1.68,1.67,1.6,1.83,1.32,1.26,0.93,1.4,0.46,,,,,,,,,,,,,,,,,,
Fibroblasts,IL12A,1,6.94,1.97,1.91,2.17,1.64,2.26,3.91,2.7,3.45,1.71,1.83,1.24,,,,,,,,,,,,,,,,,,
Fibroblasts,IL12A,10,2.83,1.79,1.88,2.01,2.82,2.22,4.33,3.02,2.48,2.05,1.59,0.77,,,,,,,,,,,,,,,,,,
Fibroblasts,IL12A,100,2.35,1.65,1.52,1.55,1.83,1.92,2.65,1.57,2.47,2.18,1.67,1.15,,,,,,,,,,,,,,,,,,
Keratinocytes,IFI16,0,0.96,1.39,0.75,0.81,1.42,0.87,1.11,0.73,1.23,0.95,0.99,1.06,1.48,1.15,0.59,1.1,1.05,0.87,0.81,1.13,1.1,1.75,0.35,1.64,1.11,0.73,1.23,0.75,1.1,1.21
Keratinocytes,IFI16,0.1,1.32,6.2,1.63,3.12,3.28,1.96,0.62,0.24,0.27,1.5,1.35,1.62,3.95,3.31,1.44,1.52,1.65,1.19,1.68,3.02,2.13,4.97,1.57,4.53,0.62,0.24,0.27,1.74,2,2.56
Keratinocytes,IFI16,1,2.14,9.08,4.11,4.79,2.67,3.6,0.5,2.68,0.86,1.81,1.96,2.09,8.93,3.11,9.6,1.85,2.76,1.63,2.43,4.84,3.14,3.22,3.47,7.62,0.5,2.68,0.86,1.94,3.13,3.49
Keratinocytes,IFI16,10,2.06,8.06,2.45,2.56,4.84,3.48,0.99,0.33,0.56,3.01,2.4,2.44,6.12,3.66,16.43,3.37,3.63,2.44,2.63,4.19,4.04,5.5,1.88,5.35,0.99,0.33,0.56,3.21,3.03,3.79
Keratinocytes,IFI16,100,2.12,8.06,2.39,2.18,3.71,1.3,0.6,5.51,1.07,2.92,2.06,2.39,4.29,2.37,1.94,2.88,2.89,2.35,2.03,3.52,3.74,5.98,2.75,7.28,0.6,5.51,1.07,2.92,2.24,2.83
Fibroblasts,IFI16,0,1.03,1.02,0.95,0.79,1.19,1.07,0.8,1.34,0.93,1.32,0.76,0.4,,,,,,,,,,,,,,,,,,
Fibroblasts,IFI16,0.1,1.59,1.49,1.24,1.58,1.42,1.19,1.2,1.11,1.21,1.42,0.73,0.36,,,,,,,,,,,,,,,,,,
Fibroblasts,IFI16,1,0.78,1.98,2.03,2.3,1.77,1.81,2.02,2.02,2.63,2.3,1.17,1.06,,,,,,,,,,,,,,,,,,
Fibroblasts,IFI16,10,4.24,3.16,2.56,2.9,3.82,3.09,2.92,2.64,2.56,4.31,1.73,0.88,,,,,,,,,,,,,,,,,,
Fibroblasts,IFI16,100,3.82,3.81,2.61,2.48,3.27,3.07,2.2,1.9,3.47,5.25,1.95,2,,,,,,,,,,,,,,,,,,
